method,seed,trial,cost,safety_margin,safe,violation_steps,best_safe_cost,cumulative_unsafe_trials,predicted_safety_lcb,Kp1,Ki1,Kp2,Ki2
bo,1,18,0.3296997625698017,-0.1725703905540421,False,38,0.31949782688630374,9,,25.979789168992777,0.003443947167172519,0.5101307479107604,1.1044931538263087
bo,1,19,0.3239232213972586,0.10899182561307896,True,0,0.31949782688630374,9,,6.318946654215049,1.0780659238422918,0.9975095355129536,1.1129553544176995
bo,1,20,0.33961633071760694,-0.3224341507720252,False,71,0.31949782688630374,10,,7.202394605062399,0.0047686202044952015,1.708571518166789,0.5208568131520338
bo,1,21,0.3215988419595011,0.6130790190735697,True,0,0.31949782688630374,10,,5.160379067872062,0.2837124499963576,2.1625905166182466,1.4393890212835942
bo,1,22,0.32677941799205457,-1.2488646684831972,False,275,0.31949782688630374,11,,1.5428069746638242,1.310097848142338,11.970945408134202,0.18778461702885163
bo,1,23,0.3417369716027874,-0.8583106267029972,False,189,0.31949782688630374,12,,0.7809764202318616,0.8762597517858838,3.9458308974290275,0.20141699678300612
bo,1,24,0.324688624600862,-0.08174386920980936,False,18,0.31949782688630374,13,,20.0599037732918,0.2789796094875244,0.40297559920410286,1.2682020265844494
bo,1,25,0.36111742880815384,-2.1117166212534055,False,765,0.31949782688630374,14,,28.09920023218313,1.0404302285544147,1.0867887626246866,0.26386052632841844
bo,1,26,0.33713437598006246,0.1998183469573117,True,0,0.31949782688630374,14,,3.8016562936617078,0.0035825789248315103,29.26144662244463,0.07312668774132906
bo,1,27,0.3213461424770268,0.5449591280653954,True,0,0.31949782688630374,14,,6.864440104107362,0.008876170965457827,0.47859673611976833,1.4448876229183558
bo,1,28,0.3442619227965387,-0.4541326067211626,False,100,0.31949782688630374,15,,28.117271166881803,1.3470724014487006,6.171865301466395,0.0031500013992996592
bo,1,29,0.3402491931231141,-0.11353315168029066,False,25,0.31949782688630374,16,,0.6347484270070435,0.4736014847865591,0.4040757806036666,1.053827702630843
bo,1,30,0.3236243075912577,-0.32697547683923744,False,72,0.31949782688630374,17,,5.535369683777408,0.053702340091861506,12.045285260773985,0.429384687040375
safe_bo,1,1,0.3533327242378745,0.6357856494096276,True,0,0.3533327242378745,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
safe_bo,1,2,0.3522182599179735,0.5040871934604907,True,0,0.3522182599179735,0,,2.326254037348541,0.029999999999999995,2.0,0.029999999999999995
safe_bo,1,3,0.3532166394972259,0.608537693006358,True,0,0.3522182599179735,0,,2.0,0.037289383635559184,2.0,0.029999999999999995
safe_bo,1,4,0.35028798826727836,0.6811989100817439,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
safe_bo,1,5,0.35124748566585556,0.6766575840145322,True,0,0.35028798826727836,0,,2.0,0.029999999999999995,2.0,0.037289383635559184
safe_bo,1,6,0.34458467378758206,0.6308223829345372,True,0,0.34458467378758206,0,0.20777352238999913,1.3391891129733562,0.021485053233090384,3.334728839616802,0.04976965767046378
safe_bo,1,7,0.33704745713793827,0.5812897366030884,True,0,0.33704745713793827,0,0.442764557725336,1.7728549634130264,0.014919318150913005,4.819605682606875,0.07426140217916108
safe_bo,1,8,0.3317261445834964,0.31789282470481406,True,0,0.3317261445834964,0,0.2799588920046344,3.3745748818824475,0.010271860321705233,6.3950118486788945,0.0638675702025297
safe_bo,1,9,0.33326420035836263,0.20890099909173454,True,0,0.3317261445834964,0,0.22037981579410335,2.587179850173314,0.02576727605139713,5.180999381896985,0.13911205666861662
safe_bo,1,10,0.3449601491851656,0.9473137822049782,True,0,0.3317261445834964,0,0.22516584196110723,1.4079576400799336,0.01772894532187071,4.170447652581507,0.02081254496651483
safe_bo,1,11,0.33339838828902,0.7856494096276112,True,0,0.3317261445834964,0,0.2130356501329323,2.7097682508243186,0.00893264591574111,7.293362506755219,0.04288433520784879
safe_bo,1,12,0.3337209398617178,1.0990009082652135,True,0,0.3317261445834964,0,0.6295978346254654,2.000210936767559,0.01241172617142571,11.007329636616758,0.026842065162587452
safe_bo,1,13,0.3373268381597615,1.1371977680809857,True,0,0.3317261445834964,0,0.40012332278082596,1.2034795565862475,0.010926225329984239,15.931184242362438,0.030978077602426955
safe_bo,1,14,0.34261784551130997,1.1622990846888281,True,0,0.3317261445834964,0,0.4304860098986145,0.9922726499924385,0.009949101821466163,25.146602635128662,0.017452128226927374
safe_bo,1,15,0.3401078768750427,1.0292329507020748,True,0,0.3317261445834964,0,0.21795796875606588,0.7541756722587466,0.008385319547899445,10.115118355403741,0.04160276241782482
safe_bo,1,16,0.34228696360307903,1.1783711539964352,True,0,0.3317261445834964,0,0.4265862169901665,1.218810315889814,0.007350332741374696,27.912010640309628,0.0075964804665488335
safe_bo,1,17,0.34292670284998816,0.826698662287953,True,0,0.3317261445834964,0,0.23856394084266708,0.591844135785061,0.007318512997255873,9.394882828151049,0.09521564965598536
safe_bo,1,18,0.3373973043768099,1.176998239135693,True,0,0.3317261445834964,0,0.5475283898286919,1.0429041900874683,0.0051298572228887585,17.39548575406257,0.0039005299779301815
safe_bo,1,19,0.3485395151367648,1.1453153749260758,True,0,0.3317261445834964,0,0.43977005094235455,0.5726768174104238,0.007449303743015393,26.112427035181767,0.003545628963396151
safe_bo,1,20,0.33383624245587645,0.9309718437783832,True,0,0.3317261445834964,0,0.7655704549370523,2.2357637242051727,0.022611790563130254,15.293201844879999,0.016363023585790396
